	MO_004	MO_005	MO_007	MO_010	MO_034	MO_035	MO_039	MO_042	MO_046	MO_071	MO_073	MO_074	MO_077	MO_082	MO_098	MO_102	MO_103	MO_106	MO_133	MO_135	MO_138	MO_140	MO_167	MO_170	MO_180	MO_184	MO_188	MO_192	MO_197	MO_199	MO_202	MO_207	MO_226	MO_231	MO_234	MO_236
109	0	0	0	0	0	0	0	0	2.95255248162036e-05	0	0	0	0	0	0	0	0	3.15347986503106e-05	0	0	0	0	0	0	0	0	0	0	0	2.08698555805994e-05	0	0	0	0	0	0
110	0	0	0	0	0	1.95000195000195e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.97496284326341e-06	0	0	0	1.49575206413785e-05	0	0	0	0	0	0	0	0
113	0	0	4.1291601288298e-05	0	0	0	0	0	0	0	1.88125517345173e-05	0	0	1.63489520321747e-05	0	0	0	3.15347986503106e-05	0	0	0	0	1.27516864105278e-05	0	0	0	0	0	0	0	0	0	0	0	0	4.76811087447153e-05
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41635034842219e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	1.57883103350279e-05	1.86299532388174e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16476809467235e-05	0	0	0	0	0	0	0	0	0	0	0
116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3295361893447e-05	0	0	0	0	0	0	0	0	0	5.30870096087487e-05	1.58937029149051e-05
117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68355836896865e-05	0	0	0	0
119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49575206413785e-05	0	0	0	0	0	0	0	0
121	0	0	0	0	1.86483664031031e-05	0	0	0	0	0	0	0	0	0	0	0	1.41304808602637e-05	0	1.58390749980201e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	0	0	0	0	0	0	0	0	1.47627624081018e-05	0	0	0	0	0	1.73232165748536e-05	1.92823123348952e-05	1.41304808602637e-05	0	0	0	0	0	0	0	1.16476809467235e-05	0	0	1.49575206413785e-05	0	0	0	1.68355836896865e-05	0	0	0	0
125	0	0	2.0645800644149e-05	0	1.86483664031031e-05	3.9000039000039e-05	0	0	0	3.49858307385509e-05	1.88125517345173e-05	2.88429644798892e-05	0	3.26979040643495e-05	1.73232165748536e-05	3.85646246697904e-05	0	0	0	0	0	0	1.27516864105278e-05	9.97496284326341e-06	0	0	3.92891286980892e-05	1.49575206413785e-05	0	0	1.3613221160391e-05	0	0	0	0	3.17874058298102e-05
126	0	0	0	0	0	0	0	0	0	1.74929153692754e-05	0	1.44214822399446e-05	0	0	0	0	0	6.30695973006212e-05	0	0	0	0	0	9.97496284326341e-06	0	0	0	0	0	0	0	3.3671167379373e-05	0	0	0	0
127	0	0	0	0	0	0	0	0	2.95255248162036e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76956698695829e-05	0
128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.54333498688966e-05	1.79765585676278e-05	0	0	2.3295361893447e-05	0	0	0	3.58750829611293e-05	0	0	3.3671167379373e-05	0	0	1.76956698695829e-05	0
129	0	1.86299532388174e-05	0	0	0	0	0	0	0	0	0	1.44214822399446e-05	0	0	0	0	0	3.15347986503106e-05	0	0	0	0	0	0	0	0	1.30963762326964e-05	0	0	0	0	0	1.89350905097326e-05	0	1.76956698695829e-05	1.58937029149051e-05
130	0	0	0	0	0	3.9000039000039e-05	0	0	0	0	0	0	0	1.63489520321747e-05	0	1.92823123348952e-05	2.82609617205273e-05	0	0	0	0	0	1.27516864105278e-05	1.99499256865268e-05	1.16476809467235e-05	0	1.30963762326964e-05	1.49575206413785e-05	3.58750829611293e-05	0	0	3.3671167379373e-05	0	0	1.76956698695829e-05	1.58937029149051e-05
131	3.15766206700559e-05	1.86299532388174e-05	0	3.2487045790491e-05	1.86483664031031e-05	0	0	2.66887293495957e-05	4.42882872243054e-05	0	5.64376552035518e-05	1.44214822399446e-05	2.9397498272897e-05	6.53958081286989e-05	3.46464331497072e-05	1.92823123348952e-05	0	3.15347986503106e-05	1.58390749980201e-05	2.83270069684437e-05	0.000124016724541138	0.000107859351405767	5.10067456421112e-05	1.99499256865268e-05	3.49430428401705e-05	4.3021855102392e-05	2.61927524653928e-05	0	1.79375414805647e-05	0	9.52925481227368e-05	3.3671167379373e-05	0	5.91505974210339e-05	1.76956698695829e-05	3.17874058298102e-05
132	3.15766206700559e-05	0	0	1.62435228952455e-05	1.86483664031031e-05	3.9000039000039e-05	0	0	2.95255248162036e-05	0	0	1.44214822399446e-05	0	1.63489520321747e-05	1.73232165748536e-05	0	0	0	0	0	0	0	1.27516864105278e-05	2.99248885297902e-05	2.3295361893447e-05	4.3021855102392e-05	0	0	1.79375414805647e-05	0	1.3613221160391e-05	1.68355836896865e-05	0	0	0	6.35748116596205e-05
133	0	0	0	1.62435228952455e-05	0	0	0	0	0	1.74929153692754e-05	1.88125517345173e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16476809467235e-05	0	0	1.49575206413785e-05	0	0	1.3613221160391e-05	0	3.78701810194653e-05	0	0	0
134	0	0	0	0	1.86483664031031e-05	0	0	0	1.47627624081018e-05	0	3.76251034690345e-05	0	1.46987491364485e-05	0	1.73232165748536e-05	0	1.41304808602637e-05	0	0	0	0	0	0	0	0	0	0	0	3.58750829611293e-05	0	0	0	3.78701810194653e-05	0	0	0
135	0	0	0	0	0	0	0	0	0	0	0	0	2.9397498272897e-05	1.63489520321747e-05	0	0	0	0	1.58390749980201e-05	0	0	0	0	0	0	0	0	0	0	0	1.3613221160391e-05	0	0	0	0	0
136	0	0	2.0645800644149e-05	0	0	0	0	0	1.47627624081018e-05	0	0	0	0	0	0	3.85646246697904e-05	1.41304808602637e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97168658070113e-05	0	1.58937029149051e-05
137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99499256865268e-05	0	0	0	0	0	0	0	0	0	0	0	0
138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.97496284326341e-06	0	0	1.30963762326964e-05	0	0	0	0	0	0	0	0	0
140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.97496284326341e-06	0	0	0	0	0	0	0	0	0	0	0	0
142	0	1.86299532388174e-05	0	1.62435228952455e-05	0	0	0	8.0066188048787e-05	0	0	0	2.88429644798892e-05	0	1.63489520321747e-05	3.46464331497072e-05	0	1.41304808602637e-05	0	0	0	0	0	1.27516864105278e-05	0	0	0	0	0	0	0	0	0	0	3.94337316140226e-05	0	1.58937029149051e-05
143	0	0	0	0	0	0	0	0	0	0	1.88125517345173e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3613221160391e-05	0	0	0	0	0
145	0	0	0	0	0	0	0	0	2.95255248162036e-05	3.49858307385509e-05	0	0	0	0	0	0	0	0	0	0	0	0	6.3758432052639e-05	0	2.3295361893447e-05	0	0	0	0	2.08698555805994e-05	0	0	0	0	0	0
146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17397111611988e-05	0	0	0	0	0	0
148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.46043959509318e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89350905097326e-05	0	0	0
149	0	0	0	1.62435228952455e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41635034842219e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.82550592315834e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92823123348952e-05	0	0	0	0	3.54333498688966e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	0	0	0	1.62435228952455e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.91505974210339e-05	0	0
157	0	0	0	0	0	1.95000195000195e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158	0	0	2.0645800644149e-05	0	0	0	0	0	0	1.74929153692754e-05	0	1.44214822399446e-05	1.46987491364485e-05	0	0	0	4.2391442580791e-05	0	0	0	3.54333498688966e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.15347986503106e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41304808602637e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163	0	0	0	3.2487045790491e-05	0	0	0	2.66887293495957e-05	2.95255248162036e-05	0	1.88125517345173e-05	1.44214822399446e-05	0	1.63489520321747e-05	0	3.85646246697904e-05	0	0	0	1.41635034842219e-05	0	0	1.27516864105278e-05	0	0	0	0	0	0	0	1.3613221160391e-05	5.05067510690596e-05	0	1.97168658070113e-05	0	0
164	0	0	0	6.49740915809821e-05	0	0	0	0	0	1.74929153692754e-05	0	2.88429644798892e-05	0	1.63489520321747e-05	0	0	1.41304808602637e-05	0	0	5.66540139368874e-05	1.77166749344483e-05	0	5.10067456421112e-05	0	0	0	0	0	0	0	1.3613221160391e-05	0	1.89350905097326e-05	0	0	1.58937029149051e-05
165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68355836896865e-05	0	0	0	1.58937029149051e-05
166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27516864105278e-05	0	0	0	0	0	0	0	0	3.3671167379373e-05	0	0	0	0
167	0	1.86299532388174e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41304808602637e-05	0	0	0	0	0	0	3.98998513730536e-05	0	0	0	0	0	0	0	0	0	0	0	0
168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.97496284326341e-06	0	0	0	1.49575206413785e-05	0	0	0	0	0	3.94337316140226e-05	0	0
169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79375414805647e-05	0	1.3613221160391e-05	0	0	0	0	0
172	0	0	0	0	0	0	0	0	1.47627624081018e-05	0	0	1.44214822399446e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	1.57883103350279e-05	1.86299532388174e-05	0	1.62435228952455e-05	0	3.9000039000039e-05	3.5785857429144e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55033728210556e-05	0	0	0	1.30963762326964e-05	0	0	0	1.3613221160391e-05	0	0	0	0	3.17874058298102e-05
174	0	1.86299532388174e-05	0	0	0	0	0	0	0	0	0	0	0	0	5.19696497245609e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16476809467235e-05	0	0	1.49575206413785e-05	0	0	0	0	0	0	0	0
178	0	0	0	0	0	0	0	0	0	0	1.88125517345173e-05	0	0	0	0	0	0	0	3.16781499960402e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	1.57883103350279e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	0	0	0	0	3.72967328062062e-05	5.85000585000585e-05	3.5785857429144e-05	2.66887293495957e-05	0	3.49858307385509e-05	0	0	1.46987491364485e-05	0	0	1.92823123348952e-05	0	0	0	0	1.77166749344483e-05	0	1.27516864105278e-05	0	3.49430428401705e-05	0	0	0	0	2.08698555805994e-05	0	5.05067510690596e-05	1.89350905097326e-05	0	0	3.17874058298102e-05
183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92823123348952e-05	0	0	0	0	0	0	2.55033728210556e-05	9.97496284326341e-06	0	0	0	0	0	0	0	0	0	0	1.76956698695829e-05	0
184	3.15766206700559e-05	1.86299532388174e-05	0	3.2487045790491e-05	0	0.000117000117000117	0	0	0	0	0	1.44214822399446e-05	0	1.63489520321747e-05	1.73232165748536e-05	0	4.2391442580791e-05	0	1.58390749980201e-05	1.41635034842219e-05	0	0	1.27516864105278e-05	9.97496284326341e-06	2.3295361893447e-05	4.3021855102392e-05	0	1.49575206413785e-05	0	0	1.3613221160391e-05	0	1.89350905097326e-05	3.94337316140226e-05	0	0
185	0	0	2.0645800644149e-05	0	0	0	0	0	0	1.74929153692754e-05	0	0	1.46987491364485e-05	0	0	1.92823123348952e-05	0	3.15347986503106e-05	0	0	0	0	0	0	0	0	0	0	1.79375414805647e-05	0	0	0	3.78701810194653e-05	0	0	3.17874058298102e-05
186	3.15766206700559e-05	5.58898597164521e-05	0	0	0	1.95000195000195e-05	0	0	1.47627624081018e-05	0	0	0	1.46987491364485e-05	1.63489520321747e-05	3.46464331497072e-05	1.92823123348952e-05	0	0	1.58390749980201e-05	0	0	0	0	1.99499256865268e-05	2.3295361893447e-05	0	0	0	1.79375414805647e-05	0	0	1.68355836896865e-05	1.89350905097326e-05	5.91505974210339e-05	0	0
187	0	0	0	0	0	0	0	0	0	0	0	0	1.46987491364485e-05	0	0	3.85646246697904e-05	4.2391442580791e-05	0	0	0	0	0	2.55033728210556e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
188	0	0	4.1291601288298e-05	0	0	0	0	0	0	0	0	0	0	1.63489520321747e-05	0	1.92823123348952e-05	0	0	0	0	0	0	0	0	0	0	0	1.49575206413785e-05	0	0	0	0	0	0	0	0
190	0	0	0	0	0	0	0	0	0	0	0	0	1.46987491364485e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	0	1.86299532388174e-05	0	0	0	0	0	0	1.47627624081018e-05	0	0	0	1.46987491364485e-05	0	0	0	0	0	0	0	0	1.79765585676278e-05	0	0	0	0	0	0	0	0	0	0	0	1.97168658070113e-05	3.53913397391658e-05	0
192	0	0	0	0	0	1.95000195000195e-05	3.5785857429144e-05	0.000133443646747978	1.47627624081018e-05	1.74929153692754e-05	0	0	0	0	1.73232165748536e-05	0	0	3.15347986503106e-05	0	0	0	0	0	0	0	0	0	1.49575206413785e-05	0	0	0	0	0	3.94337316140226e-05	0	1.58937029149051e-05
194	3.15766206700559e-05	0	0	0	0	0	0	2.66887293495957e-05	0	1.74929153692754e-05	0	0	0	0	0	0	0	0	0	0	0	0	5.10067456421112e-05	1.99499256865268e-05	0	0	0	0	0	0	0	1.68355836896865e-05	0	0	0	0
195	0	0	0	1.62435228952455e-05	0	0	0	0	0	0	0	0	1.46987491364485e-05	0	0	0	1.41304808602637e-05	0	0	0	0	0	0	9.97496284326341e-06	0	0	0	0	0	0	0	0	0	0	0	0
196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.15347986503106e-05	0	0	0	0	2.55033728210556e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24905104526656e-05	0	0	7.65101184631668e-05	0	0	0	0	0	0	0	0	3.3671167379373e-05	0	1.97168658070113e-05	0	0
199	1.57883103350279e-05	1.86299532388174e-05	0	0	0	0	0	0	0	0	0	0	1.46987491364485e-05	0	0	1.92823123348952e-05	1.41304808602637e-05	0	0	0	0	0	0	9.97496284326341e-06	0	0	0	0	0	2.08698555805994e-05	0	0	0	0.000118301194842068	0	0
200	0	0	2.0645800644149e-05	1.62435228952455e-05	0	1.95000195000195e-05	0	2.66887293495957e-05	2.95255248162036e-05	0	0	0	0	0	0	3.85646246697904e-05	0	6.30695973006212e-05	0	0	0	1.79765585676278e-05	0	1.99499256865268e-05	0	4.3021855102392e-05	0	0	0	0	0	0	0	0	0	3.17874058298102e-05
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3613221160391e-05	0	0	0	0	0
