	MO_004	MO_005	MO_007	MO_010	MO_034	MO_035	MO_039	MO_042	MO_046	MO_071	MO_073	MO_074	MO_077	MO_082	MO_098	MO_102	MO_103	MO_106	MO_133	MO_135	MO_138	MO_140	MO_167	MO_170	MO_180	MO_184	MO_188	MO_192	MO_197	MO_199	MO_202	MO_207	MO_226	MO_231	MO_234	MO_236
75	4.73649310050838e-05	0.000130409672671722	6.19374019324469e-05	4.87305686857366e-05	3.72967328062062e-05	7.8000078000078e-05	3.5785857429144e-05	0	0.000132864861672916	3.49858307385509e-05	0	0.000100950375679612	2.9397498272897e-05	3.26979040643495e-05	0	1.92823123348952e-05	2.82609617205273e-05	3.15347986503106e-05	1.58390749980201e-05	7.08175174211093e-05	7.08666997377932e-05	1.79765585676278e-05	5.10067456421112e-05	5.98497770595805e-05	1.16476809467235e-05	0	2.61927524653928e-05	1.49575206413785e-05	5.3812624441694e-05	4.17397111611988e-05	6.80661058019549e-05	1.68355836896865e-05	3.78701810194653e-05	1.97168658070113e-05	1.76956698695829e-05	3.17874058298102e-05
81	0.00140515961981749	0.00132272667995603	0.000516145016103725	0.000714715007390803	0.00102566015217067	0.00391950391950392	0.00053678786143716	0.000320264752195148	0.00101863060615902	0.00120701116048001	0.000752502069380691	0.00100950375679612	0.000793732453368218	0.000882843409737436	0.00133388767626373	0.00107980949075413	0.000621741157851602	0.000819904764908076	0.000982022649877247	0.000439068608010878	0.000850400396853519	0.000880851369813763	0.00116040346335803	0.000797997027461073	0.000675565494909963	0.000946480812252624	0.00116557748470998	0.00104702644489649	0.00129150298660066	0.000626095667417981	0.000925699038906586	0.000993299437691505	0.00253730212830417	0.000315469852912181	0.000583957105696236	0.00130328363902222
85	0.000820992137421453	0.00383777036719638	0.000392270212238831	0.000422331595276384	0.000969715052961361	0.000916500916500916	0.000572573718866304	0.000507085857642318	0.000826714694853701	0.00080467410698667	0.000978252690194898	0.000548016325117896	0.0004850587215028	0.000441421704868718	0.000779544745868413	0.000655598619386437	0.000409783944947647	0.000946043959509318	0.000665241149916845	0.000722338677695315	0.000531500248033449	0.000611202991299346	0.001377182132337	0.00049874814216317	0.000361078109348429	0.000602305971433488	0.000772686197729088	0.000628215866937896	0.00053812624441694	0.000605225811837382	0.000707887500340331	0.000673423347587461	0.00113610543058396	0.00102527702196459	0.000884783493479146	0.00112845290695826
105	7.89415516751397e-05	9.31497661940869e-05	2.0645800644149e-05	0.000292383412114419	0.000149186931224825	9.75000975000975e-05	0.000143143429716576	8.0066188048787e-05	4.42882872243054e-05	1.74929153692754e-05	3.76251034690345e-05	1.44214822399446e-05	7.34937456822424e-05	0	5.19696497245609e-05	3.85646246697904e-05	4.2391442580791e-05	0	9.50344499881207e-05	0.000198289048779106	1.77166749344483e-05	8.98827928381391e-05	5.10067456421112e-05	8.97746655893707e-05	4.6590723786894e-05	0	1.30963762326964e-05	4.48725619241355e-05	5.3812624441694e-05	6.26095667417981e-05	5.44528846415639e-05	3.3671167379373e-05	3.78701810194653e-05	3.94337316140226e-05	7.07826794783316e-05	7.94685145745256e-05
107	0	5.58898597164521e-05	2.0645800644149e-05	4.87305686857366e-05	7.45934656124124e-05	1.95000195000195e-05	3.5785857429144e-05	0.000133443646747978	0.000118102099264814	0.000104957492215653	0.000188125517345173	0.000100950375679612	0.000102891243955139	3.26979040643495e-05	1.73232165748536e-05	3.85646246697904e-05	4.2391442580791e-05	0.000126139194601242	7.91953749901006e-05	9.9144524389553e-05	0.000124016724541138	1.79765585676278e-05	0.000127516864105278	0.000139649479805688	4.6590723786894e-05	8.6043710204784e-05	0.000117867386094268	7.47876032068924e-05	0	0.000146088989064196	4.08396634811729e-05	8.41779184484326e-05	0.000113610543058396	0.000216885523877124	0.000106174019217497	0.000111255920404336
133	0.000205248034355363	0.000186299532388174	2.0645800644149e-05	0	0.000130538564821722	0.000175500175500175	0.000429430289149728	8.0066188048787e-05	5.90510496324072e-05	0.00019242206906203	9.40627586725864e-05	0.000100950375679612	4.40962474093455e-05	0.000130791616257398	0.000155908949173683	0.000134976186344266	1.41304808602637e-05	3.15347986503106e-05	0.000142551674982181	4.24905104526656e-05	0.000159450074410035	0.000143812468541023	8.92618048736945e-05	0.000119699554119161	4.6590723786894e-05	8.6043710204784e-05	0.000117867386094268	0.000149575206413785	5.3812624441694e-05	4.17397111611988e-05	1.3613221160391e-05	6.73423347587461e-05	0.000113610543058396	0.000197168658070113	5.30870096087487e-05	0.000111255920404336
138	0.000142094793015252	5.58898597164521e-05	0.000227103807085639	1.62435228952455e-05	1.86483664031031e-05	1.95000195000195e-05	7.1571714858288e-05	2.66887293495957e-05	0.000103339336856713	6.99716614771018e-05	0.000131687862141621	8.65288934396677e-05	8.81924948186909e-05	4.90468560965242e-05	5.19696497245609e-05	7.71292493395808e-05	0.000127174327742373	6.30695973006212e-05	7.91953749901006e-05	2.83270069684437e-05	5.31500248033449e-05	0.000107859351405767	7.65101184631668e-05	8.97746655893707e-05	4.6590723786894e-05	0.000258131130614352	2.61927524653928e-05	8.97451238482709e-05	7.17501659222587e-05	0.000146088989064196	8.16793269623458e-05	1.68355836896865e-05	9.46754525486632e-05	0.000138018060649079	0.00012386968908708	0.000111255920404336
146	0.00269980106728978	0.00303668237792723	0.00192005945990586	0.0016405958124198	0.00216321050275996	0.00191100191100191	0.00182507872888634	0.0018682110544717	0.00261300894623402	0.00250148689780639	0.00257731958762887	0.00164404897535369	0.0033954110505196	0.0033024883104993	0.00242525032047951	0.00300804072424365	0.00178044058839322	0.00192362271766895	0.00201156252474855	0.0015579853832644	0.00221458436680604	0.00185158553246566	0.00128792032746331	0.00217454189983142	0.00295851096046777	0.00258131130614352	0.00204303469230064	0.00101711140361374	0.00236775547543454	0.00298438934802571	0.00246399303003077	0.00266002222297047	0.0017420283268954	0.00250404195749044	0.00184034966643662	0.00284497282176802
157	0.000631532413401118	0.000912867708702051	0.000681311421256916	0.000584766824228839	0.000615396091302402	0.000565500565500565	0.000501002004008016	0.000533774586991913	0.000649561545956479	0.000874645768463772	0.000545564000301001	0.000490330396158117	0.000529154968912146	0.00062126017722264	0.000571666146970169	0.000732727868726018	0.000664132600432393	0.000788369966257765	0.000570206699928724	0.000594867146337318	0.000425200198426759	0.000557273315596462	0.000459060710779001	0.000668322510498648	0.00089687143289771	0.000602305971433488	0.00120486661340807	0.000478640660524112	0.00057400132737807	0.000646965522998581	0.000707887500340331	0.000589245429139028	0.000454442172233583	0.000552072242596317	0.000637044115304985	0.00068342922534092
171	7.89415516751397e-05	0.000186299532388174	0.000268395408373937	0.000113704660266719	0.000111890198418619	0.000117000117000117	0.000286286859433152	0.000160132376097574	7.3813812040509e-05	8.74645768463772e-05	0.000112875310407104	0.00018747926911928	0.00019108373877383	0.000212536376418272	0.000259848248622804	0.000115693874009371	0.00026847913634501	0.000252278389202485	9.50344499881207e-05	1.41635034842219e-05	0.00021260009921338	0.000107859351405767	0.000127516864105278	0.000329173773827693	0.000163067533254129	0.000129065565307176	0.000144060138559661	0.000314107933468948	0.000125562790363953	0.000146088989064196	0.000122518990443519	5.05067510690596e-05	0.000132545633568128	0.000138018060649079	0.000353913397391658	0.000174830732063956
